"key","n","latest","hash"
"natacc",73425,"2026-03-01","73425-22086551.2-2026-03-01"
"hours",8625,"2026-05-01","8625-4267766.144351-2026-05-01"
"lfs",1160,"2026-05-01","1160-298603.6211267-2026-05-01"
"mhsi",5010,"2026-05-01","5010-1671270.4-2026-05-01"
"trade",7249,"2026-05-01","7249-3045182-2026-05-01"
"approvals",7210,"2026-05-01","7210-3460016-2026-05-01"
"construction",3726,"2026-03-01","3726-1654278-2026-03-01"
"capex",8835,"2026-03-01","8835-3148807-2026-03-01"
"busind",2282,"2026-03-01","2282-1110986-2026-03-01"
"bop",7743,"2026-03-01","7743-2025973.7-2026-03-01"
"cpi",702,"2026-05-01","702-85402.92-2026-05-01"
"cpi_old",6887,"2025-09-01","6887-810276.9-2025-09-01"
"vacancies",3591,"2026-05-15","3591-80726.6-2026-05-15"
"gfs",13,"2026-01-01","13-5132-2026-01-01"
"rba_credit",11787,"2026-05-31","11787-3904344.546803-2026-05-31"
